step	name	num_seqs	file_0
0	SRR1383456_atleast-2.fasta	NA	SRR1383456_junction-pass.tsv
1	SRR1383456_igblast.fmt7	121	SRR1383456_junction-pass.tsv
2	SRR1383456_db-pass.tsv	15	SRR1383456_junction-pass.tsv
3	SRR1383456_quality-pass.tsv	14	SRR1383456_junction-pass.tsv
4	SRR1383456_productive-T.tsv	14	SRR1383456_junction-pass.tsv
5	SRR1383456_junction-pass.tsv	14	SRR1383456_junction-pass.tsv
6	SRR1383456_meta-pass.tsv	14	SRR1383456_junction-pass.tsv
7	SRR1383456_meta-pass_SRR1383456_collapse-pass.tsv	6	SRR1383456_junction-pass.tsv
