step	name	num_seqs	file_0
0	SRR1383464_atleast-2.fasta	NA	SRR1383464_db-pass.tsv
1	SRR1383464_igblast.fmt7	1854	SRR1383464_db-pass.tsv
2	SRR1383464_db-pass.tsv	1851	SRR1383464_db-pass.tsv
3	SRR1383464_quality-pass.tsv	1851	SRR1383464_db-pass.tsv
4	SRR1383464_productive-T.tsv	1851	SRR1383464_db-pass.tsv
5	SRR1383464_junction-pass.tsv	1851	SRR1383464_db-pass.tsv
6	SRR1383464_meta-pass.tsv	1851	SRR1383464_db-pass.tsv
7	SRR1383464_meta-pass_SRR1383464_collapse-pass.tsv	1048	SRR1383464_db-pass.tsv
