step	name	num_seqs	file_0
0	SRR1383467_atleast-2.fasta	NA	SRR1383467_meta-pass.tsv
1	SRR1383467_igblast.fmt7	248	SRR1383467_meta-pass.tsv
2	SRR1383467_db-pass.tsv	204	SRR1383467_meta-pass.tsv
3	SRR1383467_quality-pass.tsv	203	SRR1383467_meta-pass.tsv
4	SRR1383467_productive-T.tsv	203	SRR1383467_meta-pass.tsv
5	SRR1383467_junction-pass.tsv	203	SRR1383467_meta-pass.tsv
6	SRR1383467_meta-pass.tsv	203	SRR1383467_meta-pass.tsv
7	SRR1383467_meta-pass_SRR1383467_collapse-pass.tsv	80	SRR1383467_meta-pass.tsv
