task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
139	c3/58d07f	390741	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:24:11.851	8.5s	4s	108.6%	49.4 MB	1 GB	63.1 MB	26.2 MB
143	79/24a95d	391270	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:24:16.536	5.9s	2s	119.1%	38.5 MB	1 GB	12.6 MB	1 MB
145	ba/431773	391839	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:24:20.362	12.8s	6s	118.5%	57.2 MB	1 GB	116.8 MB	53 MB
146	2b/80f8dd	391882	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_COLLAPSE_UMI (SRR1383463)	COMPLETED	0	2025-01-28 11:24:22.394	12.4s	6s	113.5%	64.8 MB	1 GB	146.2 MB	67.6 MB
148	c4/9e50c0	393015	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_POSTCONSENSUS_PAIRSEQ_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:24:33.212	6.4s	0ms	211.6%	11 MB	16.4 MB	23.7 MB	2.7 MB
149	38/101ae3	393103	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383456)	COMPLETED	0	2025-01-28 11:24:34.816	6.1s	1s	288.3%	11.2 MB	17.7 MB	11.1 MB	273.9 KB
151	5b/ba284b	393644	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383453)	COMPLETED	0	2025-01-28 11:24:40.887	7.1s	2s	142.8%	47.5 MB	1 GB	47 MB	19.3 MB
150	45/a11615	393581	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_POSTCONSENSUS_PAIRSEQ_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:24:39.630	9.8s	4s	130.5%	51.9 MB	1 GB	104.7 MB	23 MB
153	15/e94e78	394593	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383466)	COMPLETED	0	2025-01-28 11:24:49.439	6.1s	0ms	270.7%	11.2 MB	16.7 MB	11.5 MB	518.2 KB
152	24/e94f96	394540	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383452)	COMPLETED	0	2025-01-28 11:24:47.953	9.1s	2s	148.6%	47.3 MB	1 GB	42.7 MB	17 MB
155	8e/3b1373	395319	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383467)	COMPLETED	0	2025-01-28 11:24:57.060	5s	0ms	248.8%	11.2 MB	16.7 MB	12.6 MB	1.1 MB
154	a5/515d3e	395278	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383465)	COMPLETED	0	2025-01-28 11:24:55.495	9.8s	3s	129.4%	49 MB	1 GB	63 MB	27.7 MB
156	27/22e789	395860	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_PRIMERS_UMI (SRR1383451)	COMPLETED	0	2025-01-28 11:25:02.071	12.1s	6s	116.4%	56 MB	1 GB	116.5 MB	56 MB
