task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
205	2a/815589	439680	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383465)	COMPLETED	0	2025-01-28 11:34:27.598	7.3s	4s	104.1%	86.8 MB	1.1 GB	38.3 MB	5.8 MB
208	d0/1b93d7	439093	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383467)	COMPLETED	0	2025-01-28 11:34:23.536	20.9s	17.1s	100.3%	616.1 MB	1.8 GB	135.3 MB	423 KB
206	73/fad798	441467	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383451)	COMPLETED	0	2025-01-28 11:34:34.935	12.9s	8s	100.9%	96.5 MB	1.1 GB	82.5 MB	16.8 MB
199	b3/025b41	429649	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383463)	COMPLETED	0	2025-01-28 11:31:38.585	3m 13s	3m 8s	204.8%	108.9 MB	293.6 MB	35.7 MB	62.5 MB
211	c3/b2713e	443380	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383466)	COMPLETED	0	2025-01-28 11:34:51.309	7s	0ms	99.6%	10.9 MB	16 MB	6.1 MB	124.7 KB
209	2e/053f81	442716	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383456)	COMPLETED	0	2025-01-28 11:34:44.455	20.5s	15.4s	100.8%	589 MB	1.7 GB	109.8 MB	47.6 KB
210	fa/d45640	443090	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383453)	COMPLETED	0	2025-01-28 11:34:47.825	28.9s	19.2s	99.1%	727.3 MB	2.4 GB	135.3 MB	4.6 MB
212	ee/46784d	443096	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383452)	COMPLETED	0	2025-01-28 11:34:47.831	30.7s	19.8s	100.0%	694.3 MB	2.1 GB	135.3 MB	4.2 MB
218	99/dfedbe	455390	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383456)	COMPLETED	0	2025-01-28 11:35:16.773	8.6s	2s	99.5%	125.1 MB	1.5 GB	29.7 MB	31 KB
213	da/14f281	445203	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383465)	COMPLETED	0	2025-01-28 11:34:58.332	27.4s	20.1s	99.4%	686.9 MB	1.9 GB	135.3 MB	5.9 MB
215	cc/3c2d0c	445209	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383451)	COMPLETED	0	2025-01-28 11:34:58.338	28.7s	20.5s	99.0%	753.2 MB	2.5 GB	135.3 MB	16.9 MB
217	21/e15909	449917	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383466)	COMPLETED	0	2025-01-28 11:35:04.986	24.6s	18.2s	98.7%	601.8 MB	1.8 GB	109.8 MB	143.6 KB
214	ba/0504c9	457668	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383467)	COMPLETED	0	2025-01-28 11:35:25.422	9.6s	1s	41.7%	12.2 MB	17.6 MB	7.2 MB	402.4 KB
219	6a/62d2a5	458450	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383453)	COMPLETED	0	2025-01-28 11:35:35.032	6.8s	1s	102.0%	12.6 MB	17.8 MB	24 MB	4.6 MB
224	c0/fea24c	457881	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383466)	COMPLETED	0	2025-01-28 11:35:30.570	11.3s	1.7s	101.2%	58 MB	1.2 GB	29.7 MB	129.4 KB
220	5f/b94586	459926	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383452)	COMPLETED	0	2025-01-28 11:35:41.795	6.7s	0ms	99.3%	12.8 MB	17.8 MB	22.4 MB	4.2 MB
222	9b/e9464a	460648	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383465)	COMPLETED	0	2025-01-28 11:35:48.502	5.6s	0ms	100.0%	12.8 MB	17.8 MB	29.1 MB	5.9 MB
216	e9/9647a0	457748	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383463)	COMPLETED	0	2025-01-28 11:35:27.044	27.1s	19s	50.6%	97.5 MB	1.1 GB	88.1 MB	18.3 MB
223	ee/75ad09	461274	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383451)	COMPLETED	0	2025-01-28 11:35:54.140	9.8s	2s	94.0%	26 MB	33.6 MB	73.1 MB	16.9 MB
225	20/2cbb99	459956	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383467)	COMPLETED	0	2025-01-28 11:35:41.831	24.4s	15.9s	99.6%	629.4 MB	1.8 GB	109.8 MB	421 KB
228	8e/5e8be2	461306	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383452)	COMPLETED	0	2025-01-28 11:35:54.172	27.4s	18s	100.6%	599.8 MB	1.8 GB	109.8 MB	4.2 MB
226	99/24f718	461299	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383453)	COMPLETED	0	2025-01-28 11:35:54.165	29.3s	18.3s	100.8%	673.5 MB	1.9 GB	109.8 MB	4.6 MB
233	04/5363dc	474959	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383452)	COMPLETED	0	2025-01-28 11:36:23.426	12.1s	2.5s	97.8%	125 MB	1.3 GB	29.7 MB	4.3 MB
232	8d/1e567b	472717	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383467)	COMPLETED	0	2025-01-28 11:36:21.538	14.1s	2.8s	96.9%	84 MB	1.2 GB	29.7 MB	414.1 KB
229	9d/12616f	463440	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383465)	COMPLETED	0	2025-01-28 11:36:03.938	31.7s	19.4s	100.1%	588.4 MB	1.7 GB	109.8 MB	5.9 MB
231	78/4908e6	463878	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383451)	COMPLETED	0	2025-01-28 11:36:06.278	29.7s	19s	100.9%	721.7 MB	2.5 GB	109.8 MB	16.8 MB
230	a2/4b97c8	463446	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383463)	COMPLETED	0	2025-01-28 11:36:03.946	33.7s	20.4s	100.7%	675.5 MB	1.9 GB	135.3 MB	18.5 MB
234	59/840316	478923	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383453)	COMPLETED	0	2025-01-28 11:36:35.515	12.1s	1.8s	102.3%	54.9 MB	1.2 GB	29.7 MB	4.7 MB
236	e9/9a9a23	478966	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383465)	COMPLETED	0	2025-01-28 11:36:36.000	14.6s	2.6s	80.0%	125.7 MB	1.5 GB	29.7 MB	6 MB
238	87/7b1c87	479037	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383451)	COMPLETED	0	2025-01-28 11:36:37.005	13.6s	2s	106.5%	127 MB	1.4 GB	29.7 MB	17.2 MB
239	4e/98d554	479110	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383463)	COMPLETED	0	2025-01-28 11:36:38.692	11.9s	2s	101.5%	25.9 MB	33.6 MB	79.5 MB	18.5 MB
170	b0/9225de	485053	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:36:50.634	9.2s	3s	150.2%	169.9 MB	4.9 GB	12.4 MB	2.4 MB
172	7e/c2c51a	485817	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTQC_POSTASSEMBLY_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:36:59.820	6s	3s	198.2%	345.4 MB	4.9 GB	27.8 MB	2.2 MB
189	1b/912432	488039	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:37:05.806	6s	3s	160.2%	113.4 MB	1.1 GB	41.4 MB	1.6 MB
243	95/6c9134	485084	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383463)	COMPLETED	0	2025-01-28 11:36:51.638	22s	14.8s	100.9%	728.5 MB	2.6 GB	109.8 MB	18.4 MB
245	28/f76558	488922	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383463)	COMPLETED	0	2025-01-28 11:37:14.662	7.4s	2s	106.6%	158.5 MB	1.9 GB	29.7 MB	18.9 MB
192	30/902e2a	488701	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_COLLAPSESEQ_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:37:11.851	11.3s	7s	92.7%	234.7 MB	1.2 GB	70.2 MB	30.8 MB
221	ae/d5df64	491246	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383456)	COMPLETED	0	2025-01-28 11:37:23.153	24.6s	21.3s	53.3%	4 GB	1 TB	91.9 MB	7.1 MB
227	93/6954a4	492982	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383466)	COMPLETED	0	2025-01-28 11:37:47.775	15s	11.4s	97.8%	4.1 GB	1 TB	91.9 MB	7.2 MB
235	6b/fc0f1a	494762	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383452)	COMPLETED	0	2025-01-28 11:38:02.732	15.7s	12.6s	108.7%	4.4 GB	1 TB	93.6 MB	10.6 MB
237	32/541f95	497537	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383467)	COMPLETED	0	2025-01-28 11:38:18.431	15s	11.5s	97.8%	4.1 GB	1 TB	92 MB	7.4 MB
240	20/cd6833	499389	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383453)	COMPLETED	0	2025-01-28 11:38:33.411	16.3s	12.9s	107.4%	4.3 GB	1 TB	93.7 MB	10.8 MB
241	71/b8e546	502190	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383465)	COMPLETED	0	2025-01-28 11:38:49.710	17.8s	13.9s	107.0%	4.1 GB	13.1 GB	95.2 MB	13.7 MB
242	46/06698b	504848	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383451)	COMPLETED	0	2025-01-28 11:39:07.502	20.2s	16.5s	138.6%	4.2 GB	13.2 GB	97.2 MB	17.8 MB
244	6e/d9bfc2	507638	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:39:27.662	6.2s	1s	243.9%	11.1 MB	16.7 MB	11.8 MB	697.3 KB
247	6b/2968bf	507644	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_PARSEHEADERS_METADATA_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:39:27.667	7.8s	2s	133.5%	47.1 MB	1 GB	40.2 MB	16.1 MB
248	be/1a8613	508419	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383468)	COMPLETED	0	2025-01-28 11:39:34.892	6.9s	2s	146.3%	39.3 MB	1 GB	35.4 MB	434.1 KB
249	5a/541b4f	508453	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_SPLITSEQ_UMI (SRR1383464)	COMPLETED	0	2025-01-28 11:39:36.442	6.8s	2s	132.0%	115.4 MB	1.1 GB	66.2 MB	10 MB
250	c6/2068d9	509260	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383468)	COMPLETED	0	2025-01-28 11:39:42.845	11s	6s	164.6%	79.4 MB	287.8 MB	8.4 MB	1.5 MB
252	04/3463db	510728	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383468)	COMPLETED	0	2025-01-28 11:39:54.891	6.1s	2s	69.6%	68.8 MB	1.1 GB	16.9 MB	427 KB
253	e0/3c445f	511435	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383468)	COMPLETED	0	2025-01-28 11:40:01.976	19.3s	15.6s	101.0%	588.3 MB	1.8 GB	135.3 MB	449.9 KB
251	5c/7fdc05	509312	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_ASSIGNGENES (SRR1383464)	COMPLETED	0	2025-01-28 11:39:44.257	39.7s	35s	195.9%	81.5 MB	345.1 MB	12.9 MB	11.7 MB
254	8f/38964c	513618	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383468)	COMPLETED	0	2025-01-28 11:40:22.284	5.9s	1s	99.6%	12.5 MB	17.5 MB	7.3 MB	430.1 KB
255	c5/488aac	513875	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_MAKEDB (SRR1383464)	COMPLETED	0	2025-01-28 11:40:24.953	8.1s	3s	111.9%	84.6 MB	1.1 GB	28.7 MB	3.4 MB
256	1e/4c5dfe	514176	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383468)	COMPLETED	0	2025-01-28 11:40:29.143	19.6s	15.1s	101.4%	582 MB	1.7 GB	109.8 MB	441.9 KB
246	86/0afda2	514593	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383463)	COMPLETED	0	2025-01-28 11:40:33.095	25s	21.6s	126.6%	4.4 GB	13.4 GB	101.1 MB	25.5 MB
259	b2/8ac220	519373	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383468)	COMPLETED	0	2025-01-28 11:40:58.085	7.8s	1.8s	100.9%	35.4 MB	1.1 GB	29.7 MB	435.5 KB
258	2c/28e696	519372	NFCORE_AIRRFLOW:AIRRFLOW:REPERTOIRE_ANALYSIS_REPORTING:PARSE_LOGS (logs)	COMPLETED	0	2025-01-28 11:40:58.079	8.9s	1s	58.1%	56.2 MB	1.1 GB	10.2 MB	15.1 KB
257	62/83b220	517311	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_QUALITY (SRR1383464)	COMPLETED	0	2025-01-28 11:40:48.773	21.7s	16.7s	100.4%	588.4 MB	1.8 GB	135.3 MB	3.5 MB
260	d9/e50af6	522923	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383468)	COMPLETED	0	2025-01-28 11:41:06.974	17.4s	12.1s	99.6%	4.1 GB	1 TB	92 MB	7.3 MB
261	15/c913f8	524872	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:CHANGEO_PARSEDB_SPLIT (SRR1383464)	COMPLETED	0	2025-01-28 11:41:24.416	3.7s	0ms	99.5%	12.5 MB	17.6 MB	19.5 MB	3.5 MB
262	04/5051c5	525138	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:FILTER_JUNCTION_MOD3 (SRR1383464)	COMPLETED	0	2025-01-28 11:41:28.089	17.2s	13.2s	100.4%	696 MB	1.9 GB	109.8 MB	3.5 MB
263	2d/faac1c	527650	NFCORE_AIRRFLOW:AIRRFLOW:VDJ_ANNOTATION:ADD_META_TO_TAB (SRR1383464)	COMPLETED	0	2025-01-28 11:41:45.262	5.3s	1.6s	101.6%	64.9 MB	1.2 GB	29.7 MB	3.5 MB
264	b8/6df177	529624	NFCORE_AIRRFLOW:AIRRFLOW:BULK_QC_AND_FILTER:COLLAPSE_DUPLICATES (SRR1383464)	COMPLETED	0	2025-01-28 11:41:50.599	16.9s	13s	105.8%	4.3 GB	1 TB	93.9 MB	11.1 MB
266	ed/ed5054	532548	NFCORE_AIRRFLOW:AIRRFLOW:REPERTOIRE_ANALYSIS_REPORTING:REPORT_FILE_SIZE (file_size)	COMPLETED	0	2025-01-28 11:42:08.046	31s	25.1s	88.0%	1 GB	1 TB	125.9 MB	33.2 MB
265	05/e2318f	532522	NFCORE_AIRRFLOW:AIRRFLOW:CLONAL_ANALYSIS:FIND_CLONAL_THRESHOLD (all_reps)	COMPLETED	0	2025-01-28 11:42:08.016	1m 40s	1m 34s	209.6%	1.2 GB	1 TB	720.3 MB	28.4 MB
268	a6/82bea9	540988	NFCORE_AIRRFLOW:AIRRFLOW:CLONAL_ANALYSIS:DEFINE_CLONES_COMPUTE (M5)	COMPLETED	0	2025-01-28 11:43:47.764	2m 15s	2m 10s	201.2%	5.4 GB	1 TB	578.6 MB	153.8 MB
267	c6/1e07ce	547853	NFCORE_AIRRFLOW:AIRRFLOW:CLONAL_ANALYSIS:DEFINE_CLONES_COMPUTE (M4)	COMPLETED	0	2025-01-28 11:46:02.411	1m 55s	1m 49s	206.7%	4.4 GB	1 TB	558.5 MB	124.3 MB
269	8e/899615	553554	NFCORE_AIRRFLOW:AIRRFLOW:REPERTOIRE_ANALYSIS_REPORTING:AIRRFLOW_REPORT (all_reps)	COMPLETED	0	2025-01-28 11:47:57.646	33.7s	28.1s	94.5%	858.5 MB	2.6 GB	210.7 MB	34.6 MB
270	ba/eb126c	555388	NFCORE_AIRRFLOW:AIRRFLOW:CLONAL_ANALYSIS:DEFINE_CLONES_REPORT (all_reps)	COMPLETED	0	2025-01-28 11:48:31.356	47.8s	43.3s	99.4%	1.5 GB	1 TB	194 MB	164 MB
271	d4/f4bcac	559831	NFCORE_AIRRFLOW:AIRRFLOW:MULTIQC	COMPLETED	0	2025-01-28 11:49:19.297	42.3s	36.7s	77.8%	720.7 MB	10.6 GB	131.7 MB	93.7 MB
