subj_locus	gene	seq_count	seq_freq	sample_id	subject_id	locus
SRR1383452_M4_IG	IGHV1-8	28	0.0311457174638487	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-66	28	0.0311457174638487	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-59	28	0.0311457174638487	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV1-46	28	0.0290155440414508	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-66	28	0.0290155440414508	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV4-30-2	28	0.0267175572519084	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV3-64	27	0.00993743099006257	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV7-4-1	27	0.027979274611399	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV2-5	26	0.0248091603053435	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-13	26	0.0150202195262854	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV3-53	25	0.00525099768956102	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV3-15	25	0.0144425187752744	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-23	25	0.0144425187752744	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV3-23	24	0.0266963292547275	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-7	24	0.0266963292547275	SRR1383452	M4	IG
SRR1383465_M5_IG	IGHV2-70	23	0.0132871172732525	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-7	23	0.0132871172732525	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-72	22	0.00809716599190283	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV7-4-1	22	0.0244716351501669	SRR1383452	M4	IG
SRR1383451_M4_IG	IGHV1-3	21	0.00772911299227089	SRR1383451	M4	IG
SRR1383464_M5_IG	IGHV1-3	21	0.0200381679389313	SRR1383464	M5	IG
SRR1383453_M4_IG	IGHV3-7	20	0.0207253886010363	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV4-4	20	0.00420079815164881	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV2-26	19	0.00399075824406637	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-11	19	0.0181297709923664	SRR1383464	M5	IG
SRR1383453_M4_IG	IGHV3-15	18	0.0186528497409326	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-23	18	0.0186528497409326	SRR1383453	M4	IG
SRR1383465_M5_IG	IGHV1-24	18	0.0103986135181976	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-13	17	0.0062569009937431	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-73	17	0.0062569009937431	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV3-74	17	0.0189098998887653	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-74	17	0.0176165803108808	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV4-30-4	17	0.0176165803108808	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-9	17	0.0162213740458015	SRR1383464	M5	IG
SRR1383452_M4_IG	IGHV1-46	16	0.017797552836485	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV5-51	16	0.017797552836485	SRR1383452	M4	IG
SRR1383465_M5_IG	IGHV4-61	16	0.00924321201617562	SRR1383465	M5	IG
SRR1383464_M5_IG	IGHV1-18	15	0.0143129770992366	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV2-70	15	0.0143129770992366	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV5-51	15	0.0143129770992366	SRR1383464	M5	IG
SRR1383468_M5_IG	IGHV3-30	15	0.230769230769231	SRR1383468	M5	IG
SRR1383452_M4_IG	IGHV3-49	13	0.014460511679644	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-64	13	0.014460511679644	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-30-4	13	0.014460511679644	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV5-51	13	0.0134715025906736	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV4-31	13	0.00273051879857173	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-15	13	0.0124045801526718	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV1-24	12	0.00441663599558336	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV1-24	12	0.0124352331606218	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-49	12	0.0124352331606218	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV1-58	12	0.00252047889098929	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV3-72	12	0.00693240901213172	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV1-69-2	11	0.00231043898340685	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-49	11	0.00231043898340685	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV4-34	11	0.00231043898340685	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV3-23	11	0.0104961832061069	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-7	11	0.0104961832061069	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV3-30-3	10	0.00368052999631947	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV1-3	10	0.0103626943005181	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-48	10	0.00954198473282443	SRR1383464	M5	IG
