subj_locus	gene	clone_count	clone_freq	sample_id	subject_id	locus
SRR1383452_M4_IG	IGHV3-15	21	0.0297029702970297	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV4-59	21	0.0297029702970297	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-7	22	0.0311173974540311	SRR1383452	M4	IG
SRR1383463_M5_IG	IGHV3-72	22	0.0077247191011236	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV1-8	22	0.0313390313390313	SRR1383464	M5	IG
SRR1383452_M4_IG	IGHV1-8	24	0.0339462517680339	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-23	24	0.0339462517680339	SRR1383452	M4	IG
SRR1383464_M5_IG	IGHV1-2	24	0.0341880341880342	SRR1383464	M5	IG
SRR1383453_M4_IG	IGHV1-46	25	0.0348189415041783	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV1-46	25	0.0356125356125356	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1-3	25	0.0221631205673759	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-13	25	0.0221631205673759	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-9	25	0.0221631205673759	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-49	26	0.0130456598093327	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV1-18	27	0.0376044568245125	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV5-51	27	0.00948033707865169	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV4-59	27	0.0384615384615385	SRR1383464	M5	IG
SRR1383452_M4_IG	IGHV1-18	28	0.0396039603960396	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-48	28	0.0389972144846797	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV3-30-3	28	0.0398860398860399	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV3-48	28	0.024822695035461	SRR1383465	M5	IG
SRR1383453_M4_IG	IGHV1-69	30	0.0417827298050139	SRR1383453	M4	IG
SRR1383465_M5_IG	IGHV4-30-2	30	0.0265957446808511	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV1-69	31	0.0438472418670438	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV3-9	31	0.0431754874651811	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV2-5	32	0.0445682451253482	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV1-24	32	0.0112359550561798	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV4-30-4	32	0.0455840455840456	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1-18	32	0.0283687943262411	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV3-48	34	0.0480905233380481	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV3-11	35	0.0495049504950495	SRR1383452	M4	IG
SRR1383451_M4_IG	IGHV3-66	36	0.0180632212744606	SRR1383451	M4	IG
SRR1383452_M4_IG	IGHV3-21	37	0.0523338048090523	SRR1383452	M4	IG
SRR1383465_M5_IG	IGHV4-59	37	0.0328014184397163	SRR1383465	M5	IG
SRR1383453_M4_IG	IGHV1-8	38	0.052924791086351	SRR1383453	M4	IG
SRR1383465_M5_IG	IGHV1-8	38	0.0336879432624113	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV4-61	39	0.0136938202247191	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV1-2	39	0.0345744680851064	SRR1383465	M5	IG
SRR1383464_M5_IG	IGHV3-21	40	0.056980056980057	SRR1383464	M5	IG
SRR1383463_M5_IG	IGHV3-13	42	0.014747191011236	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-15	42	0.014747191011236	SRR1383463	M5	IG
SRR1383453_M4_IG	IGHV3-11	43	0.0598885793871866	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-21	44	0.0612813370473538	SRR1383453	M4	IG
SRR1383453_M4_IG	IGHV3-33	44	0.0612813370473538	SRR1383453	M4	IG
SRR1383463_M5_IG	IGHV3-74	44	0.0154494382022472	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV2-5	44	0.0390070921985816	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV1-2	46	0.0650636492220651	SRR1383452	M4	IG
SRR1383463_M5_IG	IGHV1-3	46	0.0161516853932584	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV7-4-1	47	0.0235825388861014	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV1-46	47	0.0416666666666667	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV3-30-3	47	0.0416666666666667	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-15	48	0.0240842950326141	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV4-30-4	48	0.0425531914893617	SRR1383465	M5	IG
SRR1383452_M4_IG	IGHV3-9	49	0.0693069306930693	SRR1383452	M4	IG
SRR1383464_M5_IG	IGHV3-33	49	0.0698005698005698	SRR1383464	M5	IG
SRR1383452_M4_IG	IGHV3-33	51	0.0721357850070721	SRR1383452	M4	IG
SRR1383465_M5_IG	IGHV3-11	51	0.0452127659574468	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-7	52	0.0260913196186653	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV7-4-1	52	0.0460992907801418	SRR1383465	M5	IG
SRR1383453_M4_IG	IGHV1-2	55	0.0766016713091922	SRR1383453	M4	IG
SRR1383451_M4_IG	IGHV4-30-4	58	0.0291018564977421	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV4-30-2	59	0.0207162921348315	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV1-8	62	0.0311088810837933	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-23	62	0.0217696629213483	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-48	63	0.0221207865168539	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-48	64	0.0321123933768189	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV5-51	64	0.0321123933768189	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV4-59	65	0.0326141495233317	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-7	66	0.0231741573033708	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV1-46	68	0.03411941796287	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV2-5	69	0.0346211741093828	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-23	70	0.0351229302558956	SRR1383451	M4	IG
SRR1383451_M4_IG	IGHV3-74	72	0.0361264425489212	SRR1383451	M4	IG
