ID	QUALITY
SRR1383456.1	3
SRR1383456.2	4
SRR1383456.3	3
SRR1383456.4	11
SRR1383456.5	4
SRR1383456.6	16
SRR1383456.7	5
SRR1383456.8	2
SRR1383456.10	20
SRR1383456.13	8
SRR1383456.14	7
SRR1383456.15	6
SRR1383456.16	4
SRR1383456.11	7
SRR1383456.12	10
SRR1383456.9	4
SRR1383456.18	4
SRR1383456.19	6
SRR1383456.21	6
SRR1383456.17	3
SRR1383456.22	6
SRR1383456.24	3
SRR1383456.20	3
SRR1383456.25	14
SRR1383456.27	16
SRR1383456.23	9
SRR1383456.28	11
SRR1383456.29	5
SRR1383456.26	11
SRR1383456.30	11
SRR1383456.34	7
SRR1383456.32	7
SRR1383456.33	7
SRR1383456.31	16
SRR1383456.35	6
SRR1383456.37	7
SRR1383456.36	6
SRR1383456.38	5
SRR1383456.39	5
SRR1383456.40	5
SRR1383456.41	7
SRR1383456.43	28
SRR1383456.42	4
SRR1383456.44	9
SRR1383456.45	15
SRR1383456.46	7
SRR1383456.47	29
SRR1383456.48	13
SRR1383456.49	22
SRR1383456.50	5
SRR1383456.51	8
SRR1383456.52	6
SRR1383456.54	4
SRR1383456.55	5
SRR1383456.53	4
SRR1383456.56	10
SRR1383456.57	15
SRR1383456.58	17
SRR1383456.59	4
SRR1383456.60	19
SRR1383456.61	9
SRR1383456.63	6
SRR1383456.62	35
SRR1383456.64	10
SRR1383456.65	7
SRR1383456.66	6
SRR1383456.67	2
SRR1383456.68	11
SRR1383456.69	18
SRR1383456.70	5
SRR1383456.71	20
SRR1383456.72	4
SRR1383456.73	5
SRR1383456.74	20
SRR1383456.75	21
SRR1383456.76	9
SRR1383456.77	19
SRR1383456.78	8
SRR1383456.79	2
SRR1383456.80	7
SRR1383456.81	2
SRR1383456.82	7
SRR1383456.83	12
SRR1383456.86	20
SRR1383456.84	3
SRR1383456.85	9
SRR1383456.87	20
SRR1383456.91	6
SRR1383456.88	17
SRR1383456.90	3
SRR1383456.92	6
SRR1383456.93	16
SRR1383456.89	6
SRR1383456.94	5
SRR1383456.95	8
SRR1383456.97	4
SRR1383456.96	6
SRR1383456.99	6
SRR1383456.100	7
SRR1383456.98	6
SRR1383456.101	19
SRR1383456.102	7
SRR1383456.103	5
SRR1383456.105	9
SRR1383456.106	21
SRR1383456.104	7
SRR1383456.107	23
SRR1383456.108	8
SRR1383456.109	5
SRR1383456.112	5
SRR1383456.111	10
SRR1383456.110	4
SRR1383456.113	5
SRR1383456.114	5
SRR1383456.115	9
SRR1383456.116	4
SRR1383456.117	6
SRR1383456.118	19
SRR1383456.119	9
SRR1383456.120	19
SRR1383456.121	2
SRR1383456.122	9
SRR1383456.125	5
SRR1383456.124	7
SRR1383456.123	13
SRR1383456.126	9
SRR1383456.127	18
SRR1383456.128	10
SRR1383456.130	10
SRR1383456.129	10
SRR1383456.134	8
SRR1383456.132	6
SRR1383456.131	2
SRR1383456.133	20
SRR1383456.135	3
SRR1383456.137	3
SRR1383456.136	9
SRR1383456.138	18
SRR1383456.139	9
SRR1383456.140	8
SRR1383456.143	18
SRR1383456.142	14
SRR1383456.141	24
SRR1383456.144	8
SRR1383456.145	12
SRR1383456.146	5
SRR1383456.147	15
SRR1383456.148	7
SRR1383456.149	21
SRR1383456.153	12
SRR1383456.150	7
SRR1383456.152	23
SRR1383456.151	23
SRR1383456.155	7
SRR1383456.157	5
SRR1383456.156	10
SRR1383456.154	6
SRR1383456.158	7
SRR1383456.159	8
SRR1383456.160	6
SRR1383456.161	4
SRR1383456.162	4
SRR1383456.163	9
SRR1383456.164	7
SRR1383456.165	10
SRR1383456.166	6
SRR1383456.169	7
SRR1383456.168	12
SRR1383456.167	6
SRR1383456.170	23
SRR1383456.171	16
SRR1383456.172	3
SRR1383456.173	16
SRR1383456.174	18
SRR1383456.175	6
SRR1383456.176	9
SRR1383456.177	6
SRR1383456.178	8
SRR1383456.179	9
SRR1383456.180	7
SRR1383456.181	8
SRR1383456.182	11
SRR1383456.183	10
SRR1383456.184	14
SRR1383456.185	19
SRR1383456.186	17
SRR1383456.187	9
SRR1383456.188	6
SRR1383456.189	7
SRR1383456.190	7
SRR1383456.191	10
SRR1383456.192	4
SRR1383456.193	6
SRR1383456.194	4
SRR1383456.195	5
SRR1383456.198	5
SRR1383456.197	3
SRR1383456.196	14
SRR1383456.199	3
SRR1383456.200	7
SRR1383456.201	2
SRR1383456.202	18
SRR1383456.203	6
SRR1383456.204	20
SRR1383456.205	5
SRR1383456.206	20
SRR1383456.208	9
SRR1383456.207	7
SRR1383456.209	10
SRR1383456.210	11
SRR1383456.211	4
SRR1383456.214	4
SRR1383456.215	11
SRR1383456.213	6
SRR1383456.212	12
SRR1383456.216	7
SRR1383456.217	16
SRR1383456.220	18
SRR1383456.218	4
SRR1383456.221	7
SRR1383456.219	6
SRR1383456.222	5
SRR1383456.223	17
SRR1383456.224	11
SRR1383456.226	10
SRR1383456.225	9
SRR1383456.227	3
SRR1383456.228	15
SRR1383456.229	8
SRR1383456.230	20
SRR1383456.231	4
SRR1383456.232	7
SRR1383456.233	3
SRR1383456.235	6
SRR1383456.236	16
SRR1383456.234	6
SRR1383456.237	7
SRR1383456.238	6
SRR1383456.239	17
SRR1383456.240	9
SRR1383456.242	26
SRR1383456.243	8
SRR1383456.241	10
SRR1383456.244	21
SRR1383456.245	5
SRR1383456.246	13
SRR1383456.248	4
SRR1383456.247	4
SRR1383456.249	8
SRR1383456.250	6
SRR1383456.251	6
SRR1383456.252	22
SRR1383456.253	17
SRR1383456.254	7
SRR1383456.256	2
SRR1383456.255	15
SRR1383456.257	20
SRR1383456.259	9
SRR1383456.258	5
SRR1383456.260	6
SRR1383456.261	7
SRR1383456.262	7
SRR1383456.264	8
SRR1383456.263	11
SRR1383456.267	9
SRR1383456.266	10
SRR1383456.265	7
SRR1383456.270	9
SRR1383456.269	5
SRR1383456.268	3
SRR1383456.271	11
SRR1383456.272	6
SRR1383456.273	18
SRR1383456.274	9
SRR1383456.275	6
SRR1383456.277	17
SRR1383456.276	11
SRR1383456.278	7
SRR1383456.279	9
SRR1383456.280	5
SRR1383456.281	2
SRR1383456.284	24
SRR1383456.285	6
SRR1383456.282	6
SRR1383456.286	17
SRR1383456.283	4
SRR1383456.287	11
SRR1383456.288	17
SRR1383456.289	8
SRR1383456.290	22
SRR1383456.291	5
SRR1383456.292	3
SRR1383456.293	9
SRR1383456.295	7
SRR1383456.294	17
SRR1383456.296	9
SRR1383456.297	13
SRR1383456.300	12
SRR1383456.299	7
SRR1383456.298	4
SRR1383456.301	5
SRR1383456.302	5
SRR1383456.303	9
SRR1383456.304	3
SRR1383456.305	9
SRR1383456.306	5
SRR1383456.308	2
SRR1383456.307	13
SRR1383456.309	3
SRR1383456.310	7
SRR1383456.311	4
SRR1383456.312	21
SRR1383456.313	9
SRR1383456.317	20
SRR1383456.315	27
SRR1383456.316	22
SRR1383456.314	8
SRR1383456.318	15
SRR1383456.319	4
SRR1383456.320	23
SRR1383456.321	6
SRR1383456.322	5
SRR1383456.323	7
SRR1383456.324	5
SRR1383456.325	10
SRR1383456.326	8
SRR1383456.328	28
SRR1383456.327	20
SRR1383456.329	17
SRR1383456.331	7
SRR1383456.332	12
SRR1383456.330	4
SRR1383456.333	14
SRR1383456.334	27
SRR1383456.335	7
SRR1383456.336	11
SRR1383456.337	14
SRR1383456.338	3
SRR1383456.340	4
SRR1383456.339	5
SRR1383456.343	10
SRR1383456.344	19
SRR1383456.341	5
SRR1383456.345	27
SRR1383456.347	11
SRR1383456.348	12
SRR1383456.350	12
SRR1383456.349	12
SRR1383456.351	3
SRR1383456.352	13
SRR1383456.353	4
SRR1383456.354	21
SRR1383456.355	13
SRR1383456.342	5
SRR1383456.356	11
SRR1383456.346	7
SRR1383456.357	4
SRR1383456.358	5
SRR1383456.359	6
SRR1383456.360	22
SRR1383456.361	2
SRR1383456.362	8
SRR1383456.363	21
SRR1383456.364	5
SRR1383456.365	23
SRR1383456.366	6
SRR1383456.367	10
SRR1383456.368	8
SRR1383456.370	9
SRR1383456.369	17
SRR1383456.371	14
SRR1383456.373	23
SRR1383456.372	4
SRR1383456.374	18
SRR1383456.377	10
SRR1383456.376	7
SRR1383456.375	9
SRR1383456.378	10
SRR1383456.380	11
SRR1383456.379	7
SRR1383456.381	7
SRR1383456.383	19
SRR1383456.382	15
SRR1383456.384	35
SRR1383456.385	20
SRR1383456.386	12
SRR1383456.388	5
SRR1383456.389	6
SRR1383456.387	5
SRR1383456.391	10
SRR1383456.390	6
SRR1383456.392	11
SRR1383456.393	9
SRR1383456.394	22
SRR1383456.395	6
SRR1383456.396	8
SRR1383456.397	8
SRR1383456.399	19
SRR1383456.400	4
SRR1383456.398	3
SRR1383456.401	20
SRR1383456.404	21
SRR1383456.403	6
SRR1383456.402	8
SRR1383456.405	8
SRR1383456.409	21
SRR1383456.408	3
SRR1383456.410	16
SRR1383456.406	19
SRR1383456.407	8
SRR1383456.412	9
SRR1383456.413	23
SRR1383456.411	2
SRR1383456.414	8
SRR1383456.415	5
SRR1383456.416	14
SRR1383456.418	7
SRR1383456.420	9
SRR1383456.419	13
SRR1383456.421	12
SRR1383456.417	5
SRR1383456.422	3
SRR1383456.423	6
SRR1383456.424	6
SRR1383456.425	9
SRR1383456.426	24
SRR1383456.427	8
SRR1383456.428	7
SRR1383456.429	9
SRR1383456.430	22
SRR1383456.431	5
SRR1383456.432	18
SRR1383456.433	6
SRR1383456.434	15
SRR1383456.436	2
SRR1383456.435	5
SRR1383456.438	9
SRR1383456.437	5
SRR1383456.439	9
SRR1383456.440	12
SRR1383456.441	9
SRR1383456.443	13
SRR1383456.445	6
SRR1383456.442	6
SRR1383456.444	23
SRR1383456.446	7
SRR1383456.447	8
SRR1383456.448	11
SRR1383456.449	10
SRR1383456.450	5
SRR1383456.451	19
SRR1383456.452	8
SRR1383456.453	9
SRR1383456.454	20
SRR1383456.455	10
SRR1383456.456	20
SRR1383456.457	10
SRR1383456.459	3
SRR1383456.461	24
SRR1383456.460	12
SRR1383456.458	7
SRR1383456.462	18
SRR1383456.463	6
SRR1383456.464	15
SRR1383456.465	13
SRR1383456.469	10
SRR1383456.467	13
SRR1383456.468	5
SRR1383456.466	4
SRR1383456.470	8
SRR1383456.471	15
SRR1383456.472	25
SRR1383456.474	6
SRR1383456.473	7
SRR1383456.475	5
SRR1383456.476	13
SRR1383456.477	7
SRR1383456.479	8
SRR1383456.478	20
SRR1383456.480	27
SRR1383456.482	8
SRR1383456.483	13
SRR1383456.481	14
SRR1383456.484	5
SRR1383456.485	8
SRR1383456.486	12
SRR1383456.487	12
SRR1383456.488	3
SRR1383456.489	7
SRR1383456.490	8
SRR1383456.491	3
SRR1383456.492	13
SRR1383456.493	10
SRR1383456.494	16
SRR1383456.495	11
SRR1383456.496	15
SRR1383456.497	11
SRR1383456.498	10
SRR1383456.499	5
SRR1383456.500	5
SRR1383456.501	4
SRR1383456.502	3
SRR1383456.504	4
SRR1383456.503	8
SRR1383456.505	5
SRR1383456.506	3
SRR1383456.507	8
SRR1383456.508	22
SRR1383456.512	24
SRR1383456.510	27
SRR1383456.509	10
SRR1383456.511	15
SRR1383456.515	9
SRR1383456.517	17
SRR1383456.513	26
SRR1383456.519	8
SRR1383456.514	9
SRR1383456.518	15
SRR1383456.516	24
SRR1383456.520	10
SRR1383456.521	7
SRR1383456.522	22
SRR1383456.523	11
SRR1383456.524	6
SRR1383456.528	7
SRR1383456.526	10
SRR1383456.527	23
SRR1383456.525	21
SRR1383456.529	21
SRR1383456.530	11
SRR1383456.531	29
SRR1383456.532	7
SRR1383456.533	5
SRR1383456.534	6
SRR1383456.535	10
SRR1383456.536	22
SRR1383456.537	18
SRR1383456.538	4
SRR1383456.541	20
SRR1383456.539	8
SRR1383456.540	6
SRR1383456.542	12
SRR1383456.544	8
SRR1383456.543	14
SRR1383456.545	15
SRR1383456.547	4
SRR1383456.546	22
SRR1383456.548	9
SRR1383456.549	10
SRR1383456.551	5
SRR1383456.550	7
SRR1383456.552	14
SRR1383456.553	24
SRR1383456.555	12
SRR1383456.554	16
SRR1383456.556	12
SRR1383456.557	11
SRR1383456.558	12
SRR1383456.559	11
SRR1383456.560	16
SRR1383456.561	4
SRR1383456.562	8
