fields	model	cutoff	loglk	threshold	sensitivity	specificity	pvalue	mean_threshold
M5	gamma-norm	user	8042.24	0.056746427170048	0.868520622602755	0.995	0	0.096458263115859
M4	gamma-norm	user	3777.1	0.13617009906167	0.99671679131943	0.994999999692853	0	0.096458263115859
