ID	PRIMER	ERROR
SRR1383467.179	20100505_IGHV_left_10	0.0
SRR1383467.149	20100505_IGHV_left_14	0.0
SRR1383467.383	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.420	20100505_IGHV_left_35	0.04761904761904767
SRR1383467.378	20100505_IGHV_left_43	0.038461538461538436
SRR1383467.499	20100505_IGHV_left_32	0.0
SRR1383467.531	20100505_IGHV_left_26	0.0
SRR1383467.261	20100505_IGHV_left_28	0.04166666666666663
SRR1383467.544	20100505_IGHV_left_14	0.0
SRR1383467.558	20100505_IGHV_left_2	0.0
SRR1383467.829	20100505_IGHV_left_2	0.0
SRR1383467.457	20100505_IGHV_left_35	0.0
SRR1383467.782	20100505_IGHV_left_2	0.0
SRR1383467.657	20100505_IGHV_left_9	0.0
SRR1383467.1057	20100505_IGHV_left_39	0.04166666666666663
SRR1383467.836	20100505_IGHV_left_13	0.0
SRR1383467.636	20100505_IGHV_left_17	0.0
SRR1383467.717	20100505_IGHV_left_14	0.0
SRR1383467.940	20100505_IGHV_left_10	0.0
SRR1383467.1113	20100505_IGHV_left_2	0.0
SRR1383467.1150	20100505_IGHV_left_33	0.0
SRR1383467.1252	20100505_IGHV_left_43	0.038461538461538436
SRR1383467.1091	20100505_IGHV_left_14	0.0
SRR1383467.1193	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.1315	20100505_IGHV_left_37	0.0
SRR1383467.1371	20100505_IGHV_left_27	0.17391304347826086
SRR1383467.1374	20100505_IGHV_left_2	0.0
SRR1383467.1212	20100505_IGHV_left_10	0.04347826086956519
SRR1383467.1436	20100505_IGHV_left_14	0.0
SRR1383467.1496	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.1448	20100505_IGHV_left_2	0.0
SRR1383467.1326	20100505_IGHV_left_35	0.0
SRR1383467.1488	20100505_IGHV_left_10	0.0
SRR1383467.1469	20100505_IGHV_left_10	0.04347826086956519
SRR1383467.1507	20100505_IGHV_left_2	0.0
SRR1383467.1722	20100505_IGHV_left_1	0.045454545454545414
SRR1383467.1549	20100505_IGHV_left_6	0.0
SRR1383467.1775	20100505_IGHV_left_2	0.0
SRR1383467.1668	20100505_IGHV_left_28	0.04166666666666663
SRR1383467.1821	20100505_IGHV_left_13	0.0
SRR1383467.1778	20100505_IGHV_left_27	0.0
SRR1383467.1788	20100505_IGHV_left_14	0.0
SRR1383467.1841	20100505_IGHV_left_4	0.0
SRR1383467.1916	20100505_IGHV_left_32	0.0
SRR1383467.1857	20100505_IGHV_left_32	0.17391304347826086
SRR1383467.1987	20100505_IGHV_left_27	0.17391304347826086
SRR1383467.1762	20100505_IGHV_left_35	0.0
SRR1383467.1797	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.1861	20100505_IGHV_left_22	0.0
SRR1383467.1952	20100505_IGHV_left_45	0.0
SRR1383467.2006	20100505_IGHV_left_38	0.0
SRR1383467.1978	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.1972	20100505_IGHV_left_13	0.04166666666666663
SRR1383467.2161	20100505_IGHV_left_14	0.0
SRR1383467.2160	20100505_IGHV_left_10	0.0
SRR1383467.2297	20100505_IGHV_left_6	0.0
SRR1383467.2048	20100505_IGHV_left_14	0.045454545454545414
SRR1383467.2299	20100505_IGHV_left_11	0.0
SRR1383467.2188	20100505_IGHV_left_2	0.0
SRR1383467.2317	20100505_IGHV_left_43	0.0
SRR1383467.2324	20100505_IGHV_left_28	0.0
SRR1383467.2223	20100505_IGHV_left_16	0.0
SRR1383467.2356	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.2386	20100505_IGHV_left_11	0.0
SRR1383467.2413	20100505_IGHV_left_45	0.0
SRR1383467.2342	20100505_IGHV_left_38	0.0
SRR1383467.2427	20100505_IGHV_left_20	0.6666666666666667
SRR1383467.2464	20100505_IGHV_left_27	0.17391304347826086
SRR1383467.2497	20100505_IGHV_left_38	0.0
SRR1383467.2541	20100505_IGHV_left_11	0.0
SRR1383467.2594	20100505_IGHV_left_33	0.0
SRR1383467.2585	20100505_IGHV_left_28	0.04166666666666663
SRR1383467.2646	20100505_IGHV_left_2	0.0
SRR1383467.2573	20100505_IGHV_left_13	0.0
SRR1383467.2677	20100505_IGHV_left_2	0.0
SRR1383467.2656	20100505_IGHV_left_40	0.0
SRR1383467.2628	20100505_IGHV_left_27	0.13043478260869568
SRR1383467.2802	20100505_IGHV_left_1	0.0
SRR1383467.2600	20100505_IGHV_left_35	0.0
SRR1383467.2671	20100505_IGHV_left_2	0.0
SRR1383467.2824	20100505_IGHV_left_14	0.0
SRR1383467.2960	20100505_IGHV_left_14	0.0
SRR1383467.2727	20100505_IGHV_left_38	0.0
SRR1383467.2886	20100505_IGHV_left_22	0.0
SRR1383467.3008	20100505_IGHV_left_40	0.0
SRR1383467.2695	20100505_IGHV_left_2	0.0
SRR1383467.2829	20100505_IGHV_left_33	0.0
SRR1383467.2997	20100505_IGHV_left_2	0.0
