sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper	subject_id
SRR1383451	0	741.005	12.0749325039469	717.338567176512	764.671432823488	1	0.968061709673365	1.03193829032663	M4
SRR1383451	0.1	734.322471921685	12.6135949235959	709.60028015586	759.04466368751	0.990981804335578	0.957618747722161	1.024344860949	M4
SRR1383451	0.2	727.160094107213	13.1991343457453	701.290266162446	753.029922051979	0.981316042546559	0.946404229610389	1.01622785548273	M4
SRR1383451	0.3	719.472405868725	13.8382308618286	692.349971769791	746.59483996766	0.970941364590962	0.934339136402306	1.00754359277962	M4
SRR1383451	0.4	711.209512210087	14.5389046884871	682.713782645991	739.705241774182	0.959790436245486	0.921334920339257	0.998245952151715	M4
SRR1383451	0.5	702.316988772786	15.3108077092232	672.308357088491	732.325620457082	0.947789810828248	0.907292605432474	0.988287016224023	M4
SRR1383451	0.6	692.73598684172	16.1655477134838	661.052095532927	724.419878150512	0.934860070906026	0.892102071555425	0.977618070256627	M4
SRR1383451	0.7	682.40364372254	17.1170167854799	648.854907300232	715.952380144848	0.920916382106112	0.875641739664688	0.966191024547537	M4
SRR1383451	0.8	671.253937408162	18.1816648028213	635.618529215653	706.889345600671	0.905869646504628	0.857779001782245	0.953960291227011	M4
SRR1383451	0.9	659.219160564009	19.3786132097674	621.237776602533	697.200544525485	0.889628491796963	0.838371909234799	0.940885074359127	M4
SRR1383451	1	646.245705148448	20.7280080360606	605.619555926513	686.871854370384	0.87212057293601	0.817294830569986	0.926946315302034	M4
SRR1383451	1.1	632.229992263211	22.2574266164741	588.606237706378	675.853746820043	0.853206108276207	0.794335041877421	0.912077174674993	M4
SRR1383451	1.2	617.157916086111	23.9859111253408	570.146394144064	664.169438028157	0.832866061748721	0.769423140389153	0.896308983108289	M4
SRR1383451	1.3	600.975975736142	25.9355891119194	550.143155158951	651.808796313334	0.811028232921697	0.74242839813355	0.879628067709845	M4
SRR1383451	1.4	583.665969789024	28.1204880648716	528.550825954187	638.781113623861	0.787668058635264	0.713289149134199	0.86204696813633	M4
SRR1383451	1.5	565.239704986543	30.5428233404764	505.37687125304	625.102538720046	0.762801472306588	0.68201546717369	0.843587477439486	M4
SRR1383451	1.6	545.747284878448	33.1873224359134	480.701328160739	610.793241596156	0.736496089605937	0.648715363810958	0.824276815400916	M4
SRR1383451	1.7	525.284170865388	36.0162044210016	454.693707340392	595.874634390383	0.708880737465183	0.61361759683186	0.804143878098506	M4
SRR1383451	1.8	503.995291592227	38.9664555816408	427.622442047032	580.368141137423	0.680150999780335	0.577084421895981	0.783217577664689	M4
SRR1383451	1.9	482.074417876962	41.9510676543318	399.851836161469	564.296999592456	0.650568373866522	0.539607473851686	0.761529273881358	M4
SRR1383451	2	459.757536122226	44.8652242730183	371.823312388798	547.691759855654	0.620451327753829	0.501782460831976	0.739120194675682	M4
SRR1383451	2.1	437.310100742471	47.5970434476955	344.021609814399	530.598591670542	0.590158097101195	0.464263547228965	0.716052646973424	M4
SRR1383451	2.2	415.009562236983	50.0408696409294	316.931259985697	513.087864488268	0.56006310650668	0.427704617358449	0.692421595654912	M4
SRR1383451	2.3	393.125898175089	52.1100333263878	290.992109622187	495.259686727991	0.530530695710676	0.392699252531612	0.668362138889739	M4
SRR1383451	2.4	371.903443331411	53.7460735692603	266.563074825221	477.243811837601	0.501890599026202	0.359731816688444	0.64404938136396	M4
SRR1383451	2.5	351.546874059653	54.9226412519298	243.900475270056	459.193272849249	0.474419030991225	0.329148217987809	0.619689843994641	M4
SRR1383451	2.6	332.212982781003	55.644023661858	223.152700448867	441.273265113139	0.448327585888089	0.301148710803392	0.595506460972786	M4
SRR1383451	2.7	314.008425302125	55.9396429784931	204.368739756249	423.648110848	0.423760197707336	0.275799407232406	0.571720988182266	M4
SRR1383451	2.8	296.992460208695	55.8565082413345	187.515715753515	406.469204663875	0.400796837010135	0.253055938561163	0.548537735459107	M4
SRR1383451	2.9	281.183091416519	55.4514635167007	172.500220033748	389.865962799289	0.379461800415002	0.23279224841094	0.526131352419064	M4
SRR1383451	3	266.564954096883	54.7844991281299	159.189308894682	373.940599299084	0.359734352800431	0.21482892678819	0.504639778812672	M4
SRR1383451	3.1	253.097568043175	53.9137316595975	147.428595718207	358.766540368144	0.341559865376314	0.198957626086474	0.484162104666154	M4
SRR1383451	3.2	240.723011580534	52.8921342549213	137.056333375431	344.389689785637	0.324860171767443	0.184960065553446	0.46476027798144	M4
SRR1383451	3.3	229.372488719691	51.7657834993751	127.913417429417	330.831560009964	0.309542430509498	0.172621530798601	0.446463330220395	M4
SRR1383451	3.4	218.971592620681	50.5732582596722	119.84982785088	318.093357390481	0.295506228191012	0.161739567008158	0.429272889373865	M4
SRR1383451	3.5	209.444288784906	49.3458182855999	112.728262157473	306.16031541234	0.282648954844983	0.152128881933958	0.413169027756007	M4
SRR1383451	3.6	200.715764583626	48.1080468928055	106.425725307163	295.005803860088	0.270869649440457	0.143623491484083	0.398115807396831	M4
SRR1383451	3.7	192.714343370203	46.878720271382	100.833739996967	284.59494674344	0.260071583012535	0.136077003524898	0.384066162500172	M4
SRR1383451	3.8	185.372667387899	45.6717415117591	95.8576989136286	274.88763586217	0.250163855018386	0.129361743731322	0.37096596630545	M4
SRR1383451	3.9	178.628334620038	44.4970394205422	91.4157399371157	265.840929302959	0.241062252778372	0.123367237653074	0.358757267903671	M4
SRR1383451	4	172.424144871388	43.3613779701593	87.4374057298469	257.410884012928	0.232689583567436	0.117998401805449	0.347380765329422	M4
