sample_id	subject_id	clone_id	seq_count	seq_freq
SRR1383451	M4	888	56	0.020610967979389
SRR1383451	M4	2450	25	0.00920132499079867
SRR1383452	M4	888	22	0.0244716351501669
SRR1383453	M4	888	17	0.0176165803108808
SRR1383451	M4	1312	16	0.00588884799411115
SRR1383451	M4	2071	15	0.0055207949944792
SRR1383451	M4	2184	14	0.00515274199484726
SRR1383451	M4	801	14	0.00515274199484726
SRR1383453	M4	2071	14	0.0145077720207254
SRR1383451	M4	2133	13	0.00478468899521531
SRR1383451	M4	261	11	0.00404858299595142
SRR1383451	M4	978	11	0.00404858299595142
SRR1383452	M4	2184	11	0.0122358175750834
SRR1383452	M4	2450	11	0.0122358175750834
SRR1383451	M4	586	10	0.00368052999631947
SRR1383451	M4	86	10	0.00368052999631947
SRR1383453	M4	1726	10	0.0103626943005181
SRR1383453	M4	2450	10	0.0103626943005181
SRR1383451	M4	2453	9	0.00331247699668752
SRR1383451	M4	385	9	0.00331247699668752
SRR1383452	M4	2071	9	0.0100111234705228
SRR1383453	M4	2184	9	0.00932642487046632
SRR1383451	M4	1014	8	0.00294442399705558
SRR1383451	M4	102	8	0.00294442399705558
SRR1383451	M4	1993	8	0.00294442399705558
SRR1383451	M4	614	8	0.00294442399705558
SRR1383451	M4	915	8	0.00294442399705558
SRR1383451	M4	975	8	0.00294442399705558
SRR1383453	M4	586	8	0.00829015544041451
SRR1383451	M4	1511	7	0.00257637099742363
SRR1383451	M4	396	7	0.00257637099742363
SRR1383451	M4	416	7	0.00257637099742363
SRR1383451	M4	660	7	0.00257637099742363
SRR1383451	M4	744	7	0.00257637099742363
SRR1383453	M4	1730	7	0.00725388601036269
SRR1383453	M4	2133	7	0.00725388601036269
SRR1383453	M4	978	7	0.00725388601036269
SRR1383451	M4	1307	6	0.00220831799779168
SRR1383451	M4	1649	6	0.00220831799779168
SRR1383451	M4	1730	6	0.00220831799779168
SRR1383451	M4	2042	6	0.00220831799779168
SRR1383451	M4	2345	6	0.00220831799779168
SRR1383451	M4	397	6	0.00220831799779168
SRR1383451	M4	414	6	0.00220831799779168
SRR1383452	M4	102	6	0.00667408231368187
SRR1383452	M4	1312	6	0.00667408231368187
SRR1383452	M4	1730	6	0.00667408231368187
SRR1383453	M4	261	6	0.00621761658031088
SRR1383453	M4	614	6	0.00621761658031088
SRR1383453	M4	975	6	0.00621761658031088
SRR1383451	M4	1067	5	0.00184026499815974
SRR1383451	M4	1178	5	0.00184026499815974
SRR1383451	M4	1366	5	0.00184026499815974
SRR1383451	M4	1840	5	0.00184026499815974
SRR1383451	M4	226	5	0.00184026499815974
SRR1383451	M4	2407	5	0.00184026499815974
SRR1383451	M4	2436	5	0.00184026499815974
SRR1383451	M4	384	5	0.00184026499815974
SRR1383451	M4	406	5	0.00184026499815974
SRR1383451	M4	446	5	0.00184026499815974
SRR1383451	M4	910	5	0.00184026499815974
SRR1383452	M4	416	5	0.00556173526140156
SRR1383452	M4	586	5	0.00556173526140156
SRR1383452	M4	614	5	0.00556173526140156
SRR1383453	M4	1240	5	0.00518134715025907
SRR1383453	M4	1312	5	0.00518134715025907
SRR1383453	M4	1334	5	0.00518134715025907
SRR1383453	M4	660	5	0.00518134715025907
SRR1383453	M4	86	5	0.00518134715025907
SRR1383451	M4	103	4	0.00147221199852779
SRR1383451	M4	1191	4	0.00147221199852779
SRR1383451	M4	1239	4	0.00147221199852779
SRR1383451	M4	1240	4	0.00147221199852779
SRR1383451	M4	1412	4	0.00147221199852779
SRR1383451	M4	1480	4	0.00147221199852779
SRR1383451	M4	1490	4	0.00147221199852779
SRR1383451	M4	1628	4	0.00147221199852779
SRR1383451	M4	1726	4	0.00147221199852779
SRR1383451	M4	1737	4	0.00147221199852779
SRR1383451	M4	1762	4	0.00147221199852779
SRR1383451	M4	190	4	0.00147221199852779
SRR1383451	M4	1961	4	0.00147221199852779
SRR1383451	M4	2261	4	0.00147221199852779
SRR1383451	M4	2369	4	0.00147221199852779
SRR1383451	M4	2449	4	0.00147221199852779
SRR1383451	M4	2451	4	0.00147221199852779
SRR1383451	M4	2491	4	0.00147221199852779
SRR1383451	M4	517	4	0.00147221199852779
SRR1383451	M4	610	4	0.00147221199852779
SRR1383451	M4	646	4	0.00147221199852779
SRR1383451	M4	658	4	0.00147221199852779
SRR1383451	M4	673	4	0.00147221199852779
SRR1383452	M4	1014	4	0.00444938820912125
SRR1383452	M4	226	4	0.00444938820912125
SRR1383452	M4	86	4	0.00444938820912125
SRR1383452	M4	975	4	0.00444938820912125
SRR1383452	M4	978	4	0.00444938820912125
SRR1383453	M4	1014	4	0.00414507772020725
SRR1383453	M4	102	4	0.00414507772020725
SRR1383453	M4	1062	4	0.00414507772020725
SRR1383453	M4	1162	4	0.00414507772020725
SRR1383453	M4	1511	4	0.00414507772020725
SRR1383453	M4	190	4	0.00414507772020725
SRR1383453	M4	2261	4	0.00414507772020725
SRR1383453	M4	2407	4	0.00414507772020725
SRR1383453	M4	2453	4	0.00414507772020725
SRR1383453	M4	396	4	0.00414507772020725
SRR1383453	M4	801	4	0.00414507772020725
SRR1383451	M4	1027	3	0.00110415899889584
SRR1383451	M4	1080	3	0.00110415899889584
SRR1383451	M4	1133	3	0.00110415899889584
SRR1383451	M4	114	3	0.00110415899889584
SRR1383451	M4	1214	3	0.00110415899889584
SRR1383451	M4	1258	3	0.00110415899889584
SRR1383451	M4	1310	3	0.00110415899889584
SRR1383451	M4	1331	3	0.00110415899889584
SRR1383451	M4	1351	3	0.00110415899889584
SRR1383451	M4	1387	3	0.00110415899889584
SRR1383451	M4	1500	3	0.00110415899889584
SRR1383451	M4	159	3	0.00110415899889584
SRR1383451	M4	1598	3	0.00110415899889584
SRR1383451	M4	1621	3	0.00110415899889584
SRR1383451	M4	1641	3	0.00110415899889584
SRR1383451	M4	1696	3	0.00110415899889584
SRR1383451	M4	1698	3	0.00110415899889584
SRR1383451	M4	1702	3	0.00110415899889584
SRR1383451	M4	1704	3	0.00110415899889584
SRR1383451	M4	1710	3	0.00110415899889584
SRR1383451	M4	1716	3	0.00110415899889584
SRR1383451	M4	179	3	0.00110415899889584
SRR1383451	M4	1874	3	0.00110415899889584
SRR1383451	M4	1900	3	0.00110415899889584
SRR1383451	M4	1926	3	0.00110415899889584
SRR1383451	M4	197	3	0.00110415899889584
SRR1383451	M4	2013	3	0.00110415899889584
SRR1383451	M4	2112	3	0.00110415899889584
SRR1383451	M4	2141	3	0.00110415899889584
SRR1383451	M4	2233	3	0.00110415899889584
SRR1383451	M4	2237	3	0.00110415899889584
SRR1383451	M4	2239	3	0.00110415899889584
SRR1383451	M4	2254	3	0.00110415899889584
SRR1383451	M4	2328	3	0.00110415899889584
SRR1383451	M4	2346	3	0.00110415899889584
SRR1383451	M4	2357	3	0.00110415899889584
SRR1383451	M4	238	3	0.00110415899889584
SRR1383451	M4	24	3	0.00110415899889584
SRR1383451	M4	2406	3	0.00110415899889584
SRR1383451	M4	2512	3	0.00110415899889584
SRR1383451	M4	269	3	0.00110415899889584
SRR1383451	M4	331	3	0.00110415899889584
SRR1383451	M4	39	3	0.00110415899889584
SRR1383451	M4	391	3	0.00110415899889584
SRR1383451	M4	458	3	0.00110415899889584
SRR1383451	M4	47	3	0.00110415899889584
SRR1383451	M4	50	3	0.00110415899889584
SRR1383451	M4	535	3	0.00110415899889584
SRR1383451	M4	56	3	0.00110415899889584
SRR1383451	M4	615	3	0.00110415899889584
SRR1383451	M4	641	3	0.00110415899889584
SRR1383451	M4	67	3	0.00110415899889584
SRR1383451	M4	733	3	0.00110415899889584
SRR1383451	M4	762	3	0.00110415899889584
SRR1383451	M4	77	3	0.00110415899889584
SRR1383451	M4	781	3	0.00110415899889584
SRR1383451	M4	821	3	0.00110415899889584
SRR1383451	M4	828	3	0.00110415899889584
SRR1383451	M4	851	3	0.00110415899889584
SRR1383451	M4	858	3	0.00110415899889584
SRR1383452	M4	1064	3	0.00333704115684093
SRR1383452	M4	1162	3	0.00333704115684093
SRR1383452	M4	1178	3	0.00333704115684093
SRR1383452	M4	1240	3	0.00333704115684093
SRR1383452	M4	1641	3	0.00333704115684093
SRR1383452	M4	190	3	0.00333704115684093
SRR1383452	M4	1966	3	0.00333704115684093
SRR1383452	M4	2042	3	0.00333704115684093
SRR1383452	M4	2059	3	0.00333704115684093
SRR1383452	M4	2133	3	0.00333704115684093
SRR1383452	M4	2407	3	0.00333704115684093
SRR1383452	M4	2451	3	0.00333704115684093
SRR1383452	M4	261	3	0.00333704115684093
SRR1383452	M4	285	3	0.00333704115684093
SRR1383452	M4	396	3	0.00333704115684093
SRR1383452	M4	646	3	0.00333704115684093
SRR1383452	M4	660	3	0.00333704115684093
SRR1383452	M4	801	3	0.00333704115684093
SRR1383453	M4	1001	3	0.00310880829015544
SRR1383453	M4	1051	3	0.00310880829015544
SRR1383453	M4	1080	3	0.00310880829015544
SRR1383453	M4	1180	3	0.00310880829015544
SRR1383453	M4	1307	3	0.00310880829015544
SRR1383453	M4	1649	3	0.00310880829015544
SRR1383453	M4	2212	3	0.00310880829015544
SRR1383453	M4	2512	3	0.00310880829015544
SRR1383453	M4	416	3	0.00310880829015544
SRR1383453	M4	47	3	0.00310880829015544
SRR1383453	M4	664	3	0.00310880829015544
SRR1383453	M4	901	3	0.00310880829015544
SRR1383453	M4	915	3	0.00310880829015544
SRR1383453	M4	934	3	0.00310880829015544
SRR1383451	M4	1001	2	0.000736105999263894
SRR1383451	M4	1013	2	0.000736105999263894
SRR1383451	M4	1043	2	0.000736105999263894
SRR1383451	M4	1046	2	0.000736105999263894
SRR1383451	M4	1059	2	0.000736105999263894
SRR1383451	M4	1062	2	0.000736105999263894
SRR1383451	M4	1064	2	0.000736105999263894
SRR1383451	M4	1072	2	0.000736105999263894
SRR1383451	M4	1074	2	0.000736105999263894
SRR1383451	M4	1091	2	0.000736105999263894
SRR1383451	M4	1094	2	0.000736105999263894
SRR1383451	M4	1110	2	0.000736105999263894
SRR1383451	M4	1121	2	0.000736105999263894
SRR1383451	M4	113	2	0.000736105999263894
SRR1383451	M4	1136	2	0.000736105999263894
SRR1383451	M4	1138	2	0.000736105999263894
SRR1383451	M4	1146	2	0.000736105999263894
SRR1383451	M4	116	2	0.000736105999263894
SRR1383451	M4	1180	2	0.000736105999263894
SRR1383451	M4	1212	2	0.000736105999263894
SRR1383451	M4	1244	2	0.000736105999263894
SRR1383451	M4	1267	2	0.000736105999263894
SRR1383451	M4	1287	2	0.000736105999263894
SRR1383451	M4	1320	2	0.000736105999263894
SRR1383451	M4	133	2	0.000736105999263894
SRR1383451	M4	1334	2	0.000736105999263894
SRR1383451	M4	1344	2	0.000736105999263894
SRR1383451	M4	1363	2	0.000736105999263894
SRR1383451	M4	1367	2	0.000736105999263894
SRR1383451	M4	1376	2	0.000736105999263894
SRR1383451	M4	1381	2	0.000736105999263894
SRR1383451	M4	1382	2	0.000736105999263894
SRR1383451	M4	1390	2	0.000736105999263894
SRR1383451	M4	1393	2	0.000736105999263894
SRR1383451	M4	1413	2	0.000736105999263894
SRR1383451	M4	1414	2	0.000736105999263894
SRR1383451	M4	142	2	0.000736105999263894
SRR1383451	M4	1438	2	0.000736105999263894
SRR1383451	M4	1465	2	0.000736105999263894
SRR1383451	M4	1487	2	0.000736105999263894
SRR1383451	M4	1498	2	0.000736105999263894
SRR1383451	M4	1532	2	0.000736105999263894
SRR1383451	M4	1550	2	0.000736105999263894
SRR1383451	M4	1596	2	0.000736105999263894
SRR1383451	M4	1616	2	0.000736105999263894
SRR1383451	M4	1620	2	0.000736105999263894
SRR1383451	M4	1629	2	0.000736105999263894
SRR1383451	M4	165	2	0.000736105999263894
SRR1383451	M4	168	2	0.000736105999263894
SRR1383451	M4	1693	2	0.000736105999263894
SRR1383451	M4	171	2	0.000736105999263894
SRR1383451	M4	1728	2	0.000736105999263894
SRR1383451	M4	1729	2	0.000736105999263894
SRR1383451	M4	1733	2	0.000736105999263894
SRR1383451	M4	1734	2	0.000736105999263894
SRR1383451	M4	1758	2	0.000736105999263894
SRR1383451	M4	1759	2	0.000736105999263894
SRR1383451	M4	1771	2	0.000736105999263894
SRR1383451	M4	1811	2	0.000736105999263894
SRR1383451	M4	1817	2	0.000736105999263894
SRR1383451	M4	1829	2	0.000736105999263894
SRR1383451	M4	1843	2	0.000736105999263894
SRR1383451	M4	1847	2	0.000736105999263894
SRR1383451	M4	185	2	0.000736105999263894
SRR1383451	M4	1864	2	0.000736105999263894
SRR1383451	M4	1893	2	0.000736105999263894
SRR1383451	M4	191	2	0.000736105999263894
SRR1383451	M4	1916	2	0.000736105999263894
SRR1383451	M4	1936	2	0.000736105999263894
SRR1383451	M4	1966	2	0.000736105999263894
SRR1383451	M4	1967	2	0.000736105999263894
SRR1383451	M4	2062	2	0.000736105999263894
SRR1383451	M4	2088	2	0.000736105999263894
SRR1383451	M4	2094	2	0.000736105999263894
SRR1383451	M4	2101	2	0.000736105999263894
SRR1383451	M4	2107	2	0.000736105999263894
SRR1383451	M4	2110	2	0.000736105999263894
SRR1383451	M4	2166	2	0.000736105999263894
SRR1383451	M4	2167	2	0.000736105999263894
SRR1383451	M4	2173	2	0.000736105999263894
SRR1383451	M4	2196	2	0.000736105999263894
SRR1383451	M4	2197	2	0.000736105999263894
SRR1383451	M4	222	2	0.000736105999263894
SRR1383451	M4	2242	2	0.000736105999263894
SRR1383451	M4	2249	2	0.000736105999263894
SRR1383451	M4	2251	2	0.000736105999263894
SRR1383451	M4	2287	2	0.000736105999263894
SRR1383451	M4	2299	2	0.000736105999263894
SRR1383451	M4	2303	2	0.000736105999263894
SRR1383451	M4	2308	2	0.000736105999263894
SRR1383451	M4	2316	2	0.000736105999263894
SRR1383451	M4	2330	2	0.000736105999263894
SRR1383451	M4	2339	2	0.000736105999263894
SRR1383451	M4	234	2	0.000736105999263894
SRR1383451	M4	2340	2	0.000736105999263894
SRR1383451	M4	2374	2	0.000736105999263894
SRR1383451	M4	2383	2	0.000736105999263894
SRR1383451	M4	2387	2	0.000736105999263894
SRR1383451	M4	2388	2	0.000736105999263894
SRR1383451	M4	2419	2	0.000736105999263894
SRR1383451	M4	2437	2	0.000736105999263894
SRR1383451	M4	2452	2	0.000736105999263894
SRR1383451	M4	2454	2	0.000736105999263894
SRR1383451	M4	246	2	0.000736105999263894
SRR1383451	M4	2465	2	0.000736105999263894
SRR1383451	M4	2485	2	0.000736105999263894
SRR1383451	M4	2489	2	0.000736105999263894
SRR1383451	M4	2492	2	0.000736105999263894
SRR1383451	M4	2501	2	0.000736105999263894
SRR1383451	M4	2510	2	0.000736105999263894
SRR1383451	M4	2523	2	0.000736105999263894
SRR1383451	M4	253	2	0.000736105999263894
SRR1383451	M4	2540	2	0.000736105999263894
SRR1383451	M4	26	2	0.000736105999263894
SRR1383451	M4	262	2	0.000736105999263894
SRR1383451	M4	273	2	0.000736105999263894
SRR1383451	M4	281	2	0.000736105999263894
SRR1383451	M4	321	2	0.000736105999263894
SRR1383451	M4	322	2	0.000736105999263894
SRR1383451	M4	343	2	0.000736105999263894
SRR1383451	M4	345	2	0.000736105999263894
SRR1383451	M4	36	2	0.000736105999263894
SRR1383451	M4	368	2	0.000736105999263894
SRR1383451	M4	369	2	0.000736105999263894
SRR1383451	M4	371	2	0.000736105999263894
SRR1383451	M4	382	2	0.000736105999263894
SRR1383451	M4	4	2	0.000736105999263894
SRR1383451	M4	402	2	0.000736105999263894
SRR1383451	M4	407	2	0.000736105999263894
SRR1383451	M4	415	2	0.000736105999263894
SRR1383451	M4	432	2	0.000736105999263894
SRR1383451	M4	454	2	0.000736105999263894
SRR1383451	M4	460	2	0.000736105999263894
SRR1383451	M4	49	2	0.000736105999263894
SRR1383451	M4	491	2	0.000736105999263894
SRR1383451	M4	494	2	0.000736105999263894
SRR1383451	M4	499	2	0.000736105999263894
SRR1383451	M4	508	2	0.000736105999263894
SRR1383451	M4	524	2	0.000736105999263894
SRR1383451	M4	525	2	0.000736105999263894
SRR1383451	M4	533	2	0.000736105999263894
SRR1383451	M4	547	2	0.000736105999263894
SRR1383451	M4	561	2	0.000736105999263894
SRR1383451	M4	576	2	0.000736105999263894
SRR1383451	M4	596	2	0.000736105999263894
SRR1383451	M4	603	2	0.000736105999263894
SRR1383451	M4	626	2	0.000736105999263894
SRR1383451	M4	627	2	0.000736105999263894
SRR1383451	M4	65	2	0.000736105999263894
SRR1383451	M4	656	2	0.000736105999263894
SRR1383451	M4	664	2	0.000736105999263894
SRR1383451	M4	674	2	0.000736105999263894
SRR1383451	M4	682	2	0.000736105999263894
SRR1383451	M4	688	2	0.000736105999263894
SRR1383451	M4	689	2	0.000736105999263894
SRR1383451	M4	69	2	0.000736105999263894
SRR1383451	M4	693	2	0.000736105999263894
SRR1383451	M4	699	2	0.000736105999263894
SRR1383451	M4	711	2	0.000736105999263894
SRR1383451	M4	717	2	0.000736105999263894
SRR1383451	M4	725	2	0.000736105999263894
SRR1383451	M4	740	2	0.000736105999263894
SRR1383451	M4	742	2	0.000736105999263894
SRR1383451	M4	746	2	0.000736105999263894
SRR1383451	M4	755	2	0.000736105999263894
SRR1383451	M4	794	2	0.000736105999263894
SRR1383451	M4	799	2	0.000736105999263894
SRR1383451	M4	824	2	0.000736105999263894
SRR1383451	M4	843	2	0.000736105999263894
SRR1383451	M4	854	2	0.000736105999263894
SRR1383451	M4	855	2	0.000736105999263894
SRR1383451	M4	89	2	0.000736105999263894
SRR1383451	M4	892	2	0.000736105999263894
SRR1383451	M4	896	2	0.000736105999263894
SRR1383451	M4	901	2	0.000736105999263894
SRR1383451	M4	905	2	0.000736105999263894
SRR1383451	M4	909	2	0.000736105999263894
SRR1383451	M4	930	2	0.000736105999263894
SRR1383451	M4	97	2	0.000736105999263894
SRR1383451	M4	973	2	0.000736105999263894
SRR1383451	M4	979	2	0.000736105999263894
SRR1383451	M4	98	2	0.000736105999263894
SRR1383451	M4	996	2	0.000736105999263894
SRR1383451	M4	997	2	0.000736105999263894
SRR1383452	M4	103	2	0.00222469410456062
SRR1383452	M4	1055	2	0.00222469410456062
SRR1383452	M4	1062	2	0.00222469410456062
SRR1383452	M4	1074	2	0.00222469410456062
SRR1383452	M4	1110	2	0.00222469410456062
SRR1383452	M4	1133	2	0.00222469410456062
SRR1383452	M4	1179	2	0.00222469410456062
SRR1383452	M4	1263	2	0.00222469410456062
SRR1383452	M4	1267	2	0.00222469410456062
SRR1383452	M4	1307	2	0.00222469410456062
SRR1383452	M4	1318	2	0.00222469410456062
SRR1383452	M4	1319	2	0.00222469410456062
SRR1383452	M4	1334	2	0.00222469410456062
SRR1383452	M4	1363	2	0.00222469410456062
SRR1383452	M4	1393	2	0.00222469410456062
SRR1383452	M4	1412	2	0.00222469410456062
SRR1383452	M4	1480	2	0.00222469410456062
SRR1383452	M4	1511	2	0.00222469410456062
SRR1383452	M4	1649	2	0.00222469410456062
SRR1383452	M4	1693	2	0.00222469410456062
SRR1383452	M4	1696	2	0.00222469410456062
SRR1383452	M4	1702	2	0.00222469410456062
SRR1383452	M4	1741	2	0.00222469410456062
SRR1383452	M4	1809	2	0.00222469410456062
SRR1383452	M4	1819	2	0.00222469410456062
SRR1383452	M4	1900	2	0.00222469410456062
SRR1383452	M4	1926	2	0.00222469410456062
SRR1383452	M4	197	2	0.00222469410456062
SRR1383452	M4	2094	2	0.00222469410456062
SRR1383452	M4	2101	2	0.00222469410456062
SRR1383452	M4	2112	2	0.00222469410456062
SRR1383452	M4	2141	2	0.00222469410456062
SRR1383452	M4	2173	2	0.00222469410456062
SRR1383452	M4	2233	2	0.00222469410456062
SRR1383452	M4	2251	2	0.00222469410456062
SRR1383452	M4	2254	2	0.00222469410456062
SRR1383452	M4	2261	2	0.00222469410456062
SRR1383452	M4	2303	2	0.00222469410456062
SRR1383452	M4	2316	2	0.00222469410456062
SRR1383452	M4	2328	2	0.00222469410456062
SRR1383452	M4	2345	2	0.00222469410456062
SRR1383452	M4	2346	2	0.00222469410456062
SRR1383452	M4	2374	2	0.00222469410456062
SRR1383452	M4	24	2	0.00222469410456062
SRR1383452	M4	2406	2	0.00222469410456062
SRR1383452	M4	2449	2	0.00222469410456062
SRR1383452	M4	2452	2	0.00222469410456062
SRR1383452	M4	2453	2	0.00222469410456062
SRR1383452	M4	2454	2	0.00222469410456062
SRR1383452	M4	2512	2	0.00222469410456062
