sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper	subject_id
SRR1383451	0	63.15	1.38821312426873	60.4291522735675	65.8708477264325	1	0.956914525313816	1.04308547468618	M4
SRR1383451	0.1	63.0878024735961	1.43830268440181	60.2687810133013	65.906823933891	0.999015082717279	0.954374996251802	1.04365516918275	M4
SRR1383451	0.2	63.0225836288099	1.49118820085052	60.0999084609718	65.945258796648	0.997982321913063	0.951700846571208	1.04426379725492	M4
SRR1383451	0.3	62.954181120971	1.54705926023881	59.9220006889538	65.9863615529883	0.996899146808726	0.948883621361105	1.04491467225635	M4
SRR1383451	0.4	62.8824254617368	1.60611782292183	59.7344923738821	66.0303585495915	0.995762873503354	0.945914368549202	1.04561137845751	M4
SRR1383451	0.5	62.8071402043102	1.66857837398613	59.536786685915	66.0774937227054	0.994570707906733	0.942783637148297	1.04635777866517	M4
SRR1383451	0.6	62.7281422623694	1.73466784967702	59.3282557518629	66.1280287728759	0.993319750789698	0.93948148459007	1.04715801698933	M4
SRR1383451	0.7	62.6452423893177	1.80462527131035	59.1082418519586	66.1822429266768	0.992007005373202	0.935997495676304	1.0480165150701	M4
SRR1383451	0.8	62.5582458471243	1.87870100764047	58.8760595344299	66.2404321598187	0.990629387919625	0.932320816063814	1.04893795977544	M4
SRR1383451	0.9	62.4669532962001	1.9571555759794	58.6309988551387	66.3029077372615	0.98918374182423	0.928440203565143	1.04992728008332	M4
SRR1383451	1	62.3712600457183	2.04017236818041	58.3725956818309	66.3699244096057	0.987668409275033	0.924348308500886	1.05098851004918	M4
SRR1383451	1.1	62.2706669506797	2.12828280142467	58.0993093109713	66.4420245903881	0.986075486154865	0.920020733348715	1.05213023896101	M4
SRR1383451	1.2	62.1652632261017	2.22150797250446	57.8111876086244	66.519338843579	0.984406385211428	0.915458236082729	1.05335453434013	M4
SRR1383451	1.3	62.0547474724488	2.32020974048849	57.5072199445123	66.6022750003852	0.982656333688816	0.91064481305641	1.05466785432122	M4
SRR1383451	1.4	61.9389206636452	2.42465812889119	57.1866780561962	66.6911632710942	0.980822179946875	0.905568932006273	1.05607542788748	M4
SRR1383451	1.5	61.8175908655929	2.53511080787221	56.8488649853451	66.7863167458407	0.978900884649135	0.900219556379178	1.05758221291909	M4
SRR1383451	1.6	61.6905764230079	2.65180604210633	56.4931320864938	66.888020759522	0.976889571227362	0.894586414671319	1.05919272778341	M4
SRR1383451	1.7	61.5577094784168	2.7749546728079	56.1188982609822	66.9965206958515	0.974785581605967	0.888660305003677	1.06091085820826	M4
SRR1383451	1.8	61.4188397682897	2.90473126833307	55.7256710975895	67.1120084389898	0.972586536314959	0.88243342989057	1.06273964273935	M4
SRR1383451	1.9	61.2738386119277	3.04126467482244	55.3130693818218	67.2346078420336	0.970290397655229	0.875899752681264	1.06468104262919	M4
SRR1383451	2	61.1226029771798	3.18462830621272	54.8808461928561	67.3643597615036	0.967895534080441	0.869055363307302	1.06673570485358	M4
SRR1383451	2.1	60.9650594759395	3.33483062245205	54.4289115613922	67.5012073904868	0.965400783466975	0.861898837076677	1.06890272985727	M4
SRR1383451	2.2	60.8011681152604	3.49180634270984	53.9573534425606	67.6449827879602	0.96280551251402	0.854431566786391	1.07117945824165	M4
SRR1383451	2.3	60.6309256110688	3.65540901035628	53.4664556020073	67.7953956201303	0.960109669217242	0.846658045954194	1.07356129248029	M4
SRR1383451	2.4	60.4543680653107	3.82540555076173	52.9567109595581	67.9520251710633	0.957313825262244	0.838586080119685	1.0760415704048	M4
SRR1383451	2.5	60.271572817815	4.00147342555963	52.428829018624	68.114316617006	0.954419205349405	0.830226904491274	1.07861150620754	M4
SRR1383451	2.6	60.0826593135466	4.1832008776273	51.8837362533008	68.2815823737925	0.951427700927104	0.821595190076022	1.08126021177819	M4
SRR1383451	2.7	59.8877888742077	4.37009057899871	51.3225687301924	68.4530090182229	0.948341866574943	0.812708926843902	1.08397480630598	M4
SRR1383451	2.8	59.687163327264	4.5615667510402	50.7466567821499	68.6276698723782	0.945164898293967	0.803589181031669	1.08674061555627	M4
SRR1383451	2.9	59.4810225193237	4.75698554729727	50.1575021716435	68.8045428670039	0.941900594130225	0.794259733517712	1.08954145474274	M4
SRR1383451	3	59.2696408159165	4.9556482095919	49.5567488050659	68.982532826767	0.938553298747687	0.784746616073887	1.09235998142149	M4
SRR1383451	3.1	59.0533227567307	5.15681626683422	48.9461485988453	69.160496914616	0.935127834627564	0.77507757084474	1.09517809841039	M4
SRR1383451	3.2	58.8323980857136	5.3597278798008	48.3275244743688	69.3372716970584	0.931629423368387	0.765281464360552	1.09797738237622	M4
SRR1383451	3.3	58.6072164032211	5.5636143686181	47.7027326168601	69.5117001895822	0.928063601001127	0.755387689894855	1.1007395121074	M4
SRR1383451	3.4	58.3781416905183	5.76771600059454	47.0736260562976	69.682657324739	0.92443613128295	0.74542559075689	1.10344667180901	M4
SRR1383451	3.5	58.1455469373765	5.97129625339289	46.4420213397074	69.8490725350455	0.920752920623538	0.735423932536935	1.10608190871014	M4
SRR1383451	3.6	57.9098090666692	6.1736539756119	45.8096696214574	70.009948511881	0.917019937714477	0.725410445312072	1.10862943011688	M4
SRR1383451	3.7	57.6713043030424	6.37413310776061	45.1782329791673	70.1643756269176	0.913243140190696	0.715411448601224	1.11107483178017	M4
SRR1383451	3.8	57.4304040834483	6.57212986440657	44.5492662474913	70.3115419194053	0.909428409872498	0.705451563697407	1.11340525604759	M4
