sample_id	subject_id	clone_id	seq_count	seq_freq
SRR1383463	M5	1197	67	0.0140726738080235
SRR1383463	M5	1434	32	0.0067212770426381
SRR1383463	M5	848	32	0.0067212770426381
SRR1383463	M5	1394	31	0.00651123713505566
SRR1383463	M5	1400	23	0.00483091787439614
SRR1383465	M5	1197	23	0.0132871172732525
SRR1383463	M5	46	22	0.00462087796681369
SRR1383463	M5	1467	20	0.00420079815164881
SRR1383463	M5	1468	20	0.00420079815164881
SRR1383463	M5	225	20	0.00420079815164881
SRR1383463	M5	3017	20	0.00420079815164881
SRR1383465	M5	1976	20	0.0115540150202195
SRR1383463	M5	258	19	0.00399075824406637
SRR1383464	M5	1197	19	0.0181297709923664
SRR1383463	M5	1976	18	0.00378071833648393
SRR1383463	M5	3340	17	0.00357067842890149
SRR1383463	M5	546	17	0.00357067842890149
SRR1383463	M5	1132	16	0.00336063852131905
SRR1383463	M5	1810	16	0.00336063852131905
SRR1383464	M5	848	15	0.0143129770992366
SRR1383465	M5	3017	15	0.00866551126516464
SRR1383463	M5	1189	14	0.00294055870615417
SRR1383463	M5	2135	14	0.00294055870615417
SRR1383463	M5	789	14	0.00294055870615417
SRR1383463	M5	1173	13	0.00273051879857173
SRR1383463	M5	1364	13	0.00273051879857173
SRR1383463	M5	2621	13	0.00273051879857173
SRR1383463	M5	2643	13	0.00273051879857173
SRR1383463	M5	636	13	0.00273051879857173
SRR1383463	M5	965	13	0.00273051879857173
SRR1383463	M5	1264	12	0.00252047889098929
SRR1383463	M5	1379	12	0.00252047889098929
SRR1383464	M5	1468	12	0.0114503816793893
SRR1383465	M5	1394	12	0.00693240901213172
SRR1383465	M5	1467	12	0.00693240901213172
SRR1383465	M5	225	12	0.00693240901213172
SRR1383465	M5	546	12	0.00693240901213172
SRR1383465	M5	848	12	0.00693240901213172
SRR1383463	M5	1150	11	0.00231043898340685
SRR1383463	M5	1657	11	0.00231043898340685
SRR1383463	M5	2549	11	0.00231043898340685
SRR1383463	M5	2649	11	0.00231043898340685
SRR1383463	M5	310	11	0.00231043898340685
SRR1383463	M5	505	11	0.00231043898340685
SRR1383464	M5	3017	11	0.0104961832061069
SRR1383465	M5	3340	11	0.00635470826112074
SRR1383465	M5	46	11	0.00635470826112074
SRR1383468	M5	2698	11	0.169230769230769
SRR1383463	M5	1157	10	0.00210039907582441
SRR1383463	M5	1346	10	0.00210039907582441
SRR1383463	M5	1857	10	0.00210039907582441
SRR1383465	M5	1189	10	0.00577700751010976
SRR1383465	M5	1264	10	0.00577700751010976
SRR1383463	M5	1003	9	0.00189035916824197
SRR1383463	M5	1190	9	0.00189035916824197
SRR1383463	M5	1214	9	0.00189035916824197
SRR1383463	M5	1408	9	0.00189035916824197
SRR1383463	M5	1494	9	0.00189035916824197
SRR1383463	M5	162	9	0.00189035916824197
SRR1383463	M5	1644	9	0.00189035916824197
SRR1383463	M5	1694	9	0.00189035916824197
SRR1383463	M5	2451	9	0.00189035916824197
SRR1383463	M5	2632	9	0.00189035916824197
SRR1383463	M5	3187	9	0.00189035916824197
SRR1383463	M5	762	9	0.00189035916824197
SRR1383463	M5	793	9	0.00189035916824197
SRR1383463	M5	92	9	0.00189035916824197
SRR1383465	M5	1468	9	0.00519930675909879
SRR1383463	M5	1008	8	0.00168031926065953
SRR1383463	M5	1146	8	0.00168031926065953
SRR1383463	M5	1275	8	0.00168031926065953
SRR1383463	M5	1312	8	0.00168031926065953
SRR1383463	M5	134	8	0.00168031926065953
SRR1383463	M5	2177	8	0.00168031926065953
SRR1383463	M5	2181	8	0.00168031926065953
SRR1383463	M5	2977	8	0.00168031926065953
SRR1383463	M5	3082	8	0.00168031926065953
SRR1383463	M5	3207	8	0.00168031926065953
SRR1383463	M5	677	8	0.00168031926065953
SRR1383463	M5	772	8	0.00168031926065953
SRR1383463	M5	865	8	0.00168031926065953
SRR1383463	M5	940	8	0.00168031926065953
SRR1383464	M5	1364	8	0.00763358778625954
SRR1383464	M5	1394	8	0.00763358778625954
SRR1383464	M5	2621	8	0.00763358778625954
SRR1383465	M5	2135	8	0.00462160600808781
SRR1383465	M5	2181	8	0.00462160600808781
SRR1383465	M5	258	8	0.00462160600808781
SRR1383465	M5	2632	8	0.00462160600808781
SRR1383465	M5	505	8	0.00462160600808781
SRR1383463	M5	1040	7	0.00147027935307708
SRR1383463	M5	1216	7	0.00147027935307708
SRR1383463	M5	1313	7	0.00147027935307708
SRR1383463	M5	1342	7	0.00147027935307708
SRR1383463	M5	1431	7	0.00147027935307708
SRR1383463	M5	1475	7	0.00147027935307708
SRR1383463	M5	1980	7	0.00147027935307708
SRR1383463	M5	2173	7	0.00147027935307708
SRR1383463	M5	2211	7	0.00147027935307708
SRR1383463	M5	2233	7	0.00147027935307708
SRR1383463	M5	2262	7	0.00147027935307708
SRR1383463	M5	2758	7	0.00147027935307708
SRR1383463	M5	820	7	0.00147027935307708
SRR1383464	M5	1173	7	0.0066793893129771
SRR1383464	M5	1434	7	0.0066793893129771
SRR1383464	M5	1467	7	0.0066793893129771
SRR1383464	M5	310	7	0.0066793893129771
SRR1383464	M5	3340	7	0.0066793893129771
SRR1383464	M5	546	7	0.0066793893129771
SRR1383465	M5	1008	7	0.00404390525707683
SRR1383465	M5	1132	7	0.00404390525707683
SRR1383465	M5	3082	7	0.00404390525707683
SRR1383463	M5	1085	6	0.00126023944549464
SRR1383463	M5	1192	6	0.00126023944549464
SRR1383463	M5	1226	6	0.00126023944549464
SRR1383463	M5	135	6	0.00126023944549464
SRR1383463	M5	1359	6	0.00126023944549464
SRR1383463	M5	1381	6	0.00126023944549464
SRR1383463	M5	1386	6	0.00126023944549464
SRR1383463	M5	1658	6	0.00126023944549464
SRR1383463	M5	1707	6	0.00126023944549464
SRR1383463	M5	2009	6	0.00126023944549464
SRR1383463	M5	2235	6	0.00126023944549464
SRR1383463	M5	2547	6	0.00126023944549464
SRR1383463	M5	265	6	0.00126023944549464
SRR1383463	M5	291	6	0.00126023944549464
SRR1383463	M5	2999	6	0.00126023944549464
SRR1383463	M5	3143	6	0.00126023944549464
SRR1383463	M5	3226	6	0.00126023944549464
SRR1383463	M5	429	6	0.00126023944549464
SRR1383463	M5	450	6	0.00126023944549464
SRR1383463	M5	595	6	0.00126023944549464
SRR1383463	M5	643	6	0.00126023944549464
SRR1383463	M5	790	6	0.00126023944549464
SRR1383463	M5	791	6	0.00126023944549464
SRR1383463	M5	961	6	0.00126023944549464
SRR1383464	M5	1189	6	0.00572519083969466
SRR1383464	M5	1214	6	0.00572519083969466
SRR1383464	M5	1694	6	0.00572519083969466
SRR1383464	M5	2135	6	0.00572519083969466
SRR1383464	M5	225	6	0.00572519083969466
SRR1383464	M5	258	6	0.00572519083969466
SRR1383464	M5	505	6	0.00572519083969466
SRR1383464	M5	762	6	0.00572519083969466
SRR1383464	M5	789	6	0.00572519083969466
SRR1383465	M5	1379	6	0.00346620450606586
SRR1383465	M5	1475	6	0.00346620450606586
SRR1383465	M5	2451	6	0.00346620450606586
SRR1383465	M5	2560	6	0.00346620450606586
SRR1383465	M5	2621	6	0.00346620450606586
SRR1383465	M5	2649	6	0.00346620450606586
SRR1383465	M5	2694	6	0.00346620450606586
SRR1383465	M5	3174	6	0.00346620450606586
SRR1383463	M5	1122	5	0.0010501995379122
SRR1383463	M5	1283	5	0.0010501995379122
SRR1383463	M5	1314	5	0.0010501995379122
SRR1383463	M5	1341	5	0.0010501995379122
SRR1383463	M5	1473	5	0.0010501995379122
SRR1383463	M5	1530	5	0.0010501995379122
SRR1383463	M5	1674	5	0.0010501995379122
SRR1383463	M5	1767	5	0.0010501995379122
SRR1383463	M5	1839	5	0.0010501995379122
SRR1383463	M5	185	5	0.0010501995379122
SRR1383463	M5	1850	5	0.0010501995379122
SRR1383463	M5	214	5	0.0010501995379122
SRR1383463	M5	2188	5	0.0010501995379122
SRR1383463	M5	2192	5	0.0010501995379122
SRR1383463	M5	220	5	0.0010501995379122
SRR1383463	M5	2229	5	0.0010501995379122
SRR1383463	M5	2234	5	0.0010501995379122
SRR1383463	M5	2585	5	0.0010501995379122
SRR1383463	M5	2586	5	0.0010501995379122
SRR1383463	M5	2653	5	0.0010501995379122
SRR1383463	M5	2658	5	0.0010501995379122
SRR1383463	M5	2731	5	0.0010501995379122
SRR1383463	M5	2914	5	0.0010501995379122
SRR1383463	M5	294	5	0.0010501995379122
SRR1383463	M5	2978	5	0.0010501995379122
SRR1383463	M5	3081	5	0.0010501995379122
SRR1383463	M5	318	5	0.0010501995379122
SRR1383463	M5	3393	5	0.0010501995379122
SRR1383463	M5	342	5	0.0010501995379122
SRR1383463	M5	356	5	0.0010501995379122
SRR1383463	M5	700	5	0.0010501995379122
SRR1383463	M5	773	5	0.0010501995379122
