Sample	seqs_1	seqs_2	pass_pairs	process
SRR1383468	305755	26397	23526	pair_sequences
SRR1383463	800970	125339	96149	pair_sequences
SRR1383452	933588	27614	24140	pair_sequences
SRR1383456	36604	12017	10389	pair_sequences
SRR1383467	178960	33042	29273	pair_sequences
SRR1383466	170228	6356	5501	pair_sequences
SRR1383464	643991	29281	23200	pair_sequences
SRR1383465	931413	45675	36937	pair_sequences
SRR1383451	900378	97654	84333	pair_sequences
SRR1383453	745994	31231	27422	pair_sequences
