Sample	seqs_1	seqs_2	pass_pairs	process
SRR1383468	4710	2979	2977	repair_mates
SRR1383463	94242	92753	92753	repair_mates
SRR1383452	23579	23097	23097	repair_mates
SRR1383456	4405	3626	3623	repair_mates
SRR1383467	3694	2300	2300	repair_mates
SRR1383466	3770	3295	3292	repair_mates
SRR1383464	23038	22899	22899	repair_mates
SRR1383465	36738	36580	36580	repair_mates
SRR1383451	78312	73569	73567	repair_mates
SRR1383453	26916	26468	26468	repair_mates
